시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
마포구,스마일호프,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 만리재옛길 6 (신공덕동, 1층)",-,서울특별시 마포구청,37.544857,126.954394
마포구,쿠킹 몬스터(Cooking Monster),시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 만리재옛길 24-7 (신공덕동,1층)",-,서울특별시 마포구청,37.54609,126.955969
마포구,1883,시설전체,음식점                                                                                                 ,국민건강증진법제9조,서울특별시 마포구 마포대로 58 (도화동),-,서울특별시 마포구청,37.540684,126.948361
마포구,더드림망원점,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 동교로9길 84 (망원동, 1층)",-,서울특별시 마포구청,37.5572998765,126.908302
마포구,정원,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 월드컵북로12안길 69 (성산동,1층)",-,서울특별시 마포구청,37.564489,126.913198
마포구,바다식당,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 월드컵로 235 (성산동, 2층)",-,서울특별시 마포구청,37.565199,126.898483
마포구,안녕파스타씨,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 잔다리로6길 36 (서교동,1층)",-,서울특별시 마포구청,37.552256,126.92122
마포구,옛날무쇠솥,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 서강로1길 12-5 (창전동, 1층)",-,서울특별시 마포구청,37.548951,126.931032
마포구,정원각,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 동교로 182-3 (동교동, 지하1층)",-,서울특별시 마포구청,37.556766,126.922166
마포구,브랜뉴(BRAND NU),시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 어울마당로 60 (서교동,지하1층)",-,서울특별시 마포구청,37.5504,126.921398
